,drift_rate,f_start,snr,driftrate_idx,channel_idx,beam_idx,boxcar_size,n_integration
5079,-6.007755567537331,8420.68536579609,16190449.0,628.0,251024.0,0.0,8.0,16.0
4752,-7.414029561849413,8420.874919742346,16190374.0,775.0,183180.0,0.0,8.0,16.0
4707,-5.452899161618278,8420.89961282909,16190233.0,570.0,174342.0,0.0,8.0,16.0
4737,-0.0,8420.883145183325,16190230.0,0.0,180236.0,0.0,8.0,16.0
4957,-6.706109319814759,8420.759872533381,16189680.0,701.0,224357.0,0.0,8.0,16.0
4582,-4.821510837641425,8420.968959107995,16189602.0,504.0,149522.0,0.0,8.0,16.0
4936,-3.644832597502744,8420.772744342685,16188926.0,381.0,219750.0,0.0,8.0,16.0
4762,-3.520468230658818,8420.86962517351,16188780.0,368.0,185075.0,0.0,8.0,16.0
4883,-6.323449729525757,8420.802346430719,16188716.0,661.0,209155.0,0.0,8.0,16.0
4672,-1.4254069738265323,8420.91772891581,16188605.0,149.0,167858.0,0.0,8.0,16.0
4597,-4.821510837641425,8420.960426330566,16188599.0,504.0,152576.0,0.0,8.0,16.0
4615,-2.295957541734012,8420.950066298246,16187900.0,240.0,156284.0,0.0,8.0,16.0
4844,-4.83107732739865,8420.82386277616,16187042.0,505.0,201454.0,0.0,8.0,16.0
4625,-0.10523138732947554,8420.944288372993,16187002.0,11.0,158352.0,0.0,8.0,16.0
5042,-3.625699617988294,8420.706569217145,16186672.0,379.0,243435.0,0.0,8.0,16.0
5056,-0.20089628490172604,8420.699059031904,16186434.0,21.0,246123.0,0.0,8.0,16.0
4796,-1.8080665641155342,8420.850581489503,16186100.0,189.0,191891.0,0.0,8.0,16.0
4829,-1.7124016665432837,8420.832102186978,16185577.0,179.0,198505.0,0.0,8.0,16.0
4828,-0.5548564059190528,8420.832610689104,16185461.0,58.0,198323.0,0.0,8.0,16.0
4723,-2.2098591339189864,8420.890459790826,16185185.0,231.0,177618.0,0.0,8.0,16.0
4848,-3.319571945757092,8420.821957290173,16185168.0,347.0,202136.0,0.0,8.0,16.0
4859,-4.792811368369749,8420.815757475793,16185079.0,501.0,204355.0,0.0,8.0,16.0
4955,-1.6454362382427086,8420.760587789118,16184999.0,172.0,224101.0,0.0,8.0,16.0
4972,-7.155734338404337,8420.750621706247,16184812.0,748.0,227668.0,0.0,8.0,16.0
5033,-2.7742820295952644,8420.711531303823,16184798.0,290.0,241659.0,0.0,8.0,16.0
4928,-1.6454362382427086,8420.777952298522,16184550.0,172.0,217886.0,0.0,8.0,16.0
4591,-0.5548564059190528,8420.963468961418,16184260.0,58.0,151487.0,0.0,8.0,16.0
5102,-6.007755567537331,8420.671233907342,16184007.0,628.0,256082.0,0.0,8.0,16.0
5117,-0.0956648975722505,8420.662857592106,16183897.0,10.0,259080.0,0.0,8.0,16.0
